ID	Hexagon_index	Cluster_base
Dcbld1	84	33
Gopc	382	31
D10Ertd438e	317	21
Zfa	314	5
Slc35f1	523	4
Pln	440	2
Asf1a	372	2
4930589M24Rik	443	3
Man1a	690	4
D630037F22Rik	692	4
Gja1	317	21
Hsf2	608	6
Serinc1	608	6
Pkib	607	6
Fabp7	444	4
Smpdl3a	444	4
Gcc2	18	34
Lims1	634	15
Ranbp2	41	12
Edar	633	17
Sept10	241	25
P4ha1	356	10
Pla2g12b	660	10
Oit3	660	10
Cbara1	413	7
Dnajb12	234	10
Ddit4	417	11
D10Ertd641e	567	7
Ascc1	653	7
Spock2	349	10
Chst3	286	10
Psap	346	8
Cdh23	284	8
4632428N05Rik	660	10
Slc29a3	10	12
Unc5b	10	12
Pcbd1	649	9
Sgpl1	649	9
1700021K02Rik	413	7
Adamts14	347	11
Prf1	349	10
X99384	350	10
Nodal	493	11
Eif4ebp2	493	11
Lrrc20	491	11
Ppa1	651	7
Sar1a	651	7
H2afy2	411	9
Col13a1	176	14
2010107G23Rik	63	13
Neurog3	93	13
Tspan15	131	14
Tacr2	130	13
Hk1	22	12
Hkdc1	408	8
Supv3l1	484	9
Vps26a	564	7
2510003E04Rik	287	10
Ddx21	286	10
Ddx50	348	10
Ccar1	415	11
Slc25a16	564	7
Dna2l	648	9
Rufy2	646	9
Hnrph3	646	9
3110049J23Rik	646	9
Atoh7	561	9
Herc4	223	14
Sirt1	336	13
Dnajc12	129	13
Ctnna3	391	22
Lrrtm3	690	4
Nrbf2	43	12
Egr2	114	32
Gm237	153	39
Zfp365	663	26
Plekhk1	662	26
Arid5b	662	26
1700040L02Rik	116	32
Tmem26	600	3
Rhobtb1	115	32
Cdc2a	30	32
Ank3	368	36
Slc16a9	44	12
1200015N20Rik	546	18
Phyhipl	56	33
Bicc1	368	36
Tfam	546	18
Ube2d1	545	18
Ipmk	631	17
Zwint	694	4
Pcdh15	692	4
Gnaz	269	22
Rab36	12	12
Bcr	12	12
Adora2a	73	12
Upb1	71	12
1110038D17Rik	283	8
Snrpd3	344	8
AI646023	412	9
Ggt1	650	7
Ggtla1	485	7
Susd2	230	10
Cabin1	181	10
Ddt	651	7
Gstt3	651	7
Gstt1	651	7
Gstt2	654	11
Mif	419	10
Derl3	292	10
Smarcb1	292	10
Mmp11	236	10
Ndg2	236	10
Gm867	236	10
Vpreb3	236	10
Suhw2	136	8
Slc5a4b	135	8
Slc5a4a	410	9
Prmt2	410	9
S100b	343	8
Dip2a	343	8
Pcnt	343	8
2610028H24Rik	180	8
A130042E20Rik	181	10
Mcm3ap	659	11
Lss	345	8
1700027D21Rik	345	8
Ftcd	228	8
Col6a2	180	8
Col6a1	70	12
Pcbp3	70	12
Slc19a1	346	8
Col18a1	486	7
Pofut2	653	7
Adarb1	566	7
1810008A18Rik	412	9
Itgb2	346	8
Pttg1ip	182	10
Sumo3	103	12
Ube2g2	104	12
Krtap12-1	134	8
C330046G03Rik	64	12
Lrrc3	639	16
Trpm2	640	16
1810043G02Rik	65	12
Pfkl	65	12
Aire	65	12
Dnmt3l	97	14
Icosl	97	14
D10Jhu81e	482	9
Tmem1	563	9
Agpat3	564	7
Cstb	286	10
Pdxk	286	10
Ilvbl	42	12
Olfr1357	3	12
Casp14	369	39
Slc1a6	371	2
Olfr1356	442	3
Olfr1355	518	3
Olfr8	448	6
Olfr1353	448	6
Olfr1352	448	6
Olfr1351	449	6
Olfr57	449	6
2610008E11Rik	449	6
AJ543404	379	5
Ppap2c	98	8
