ID	Hexagon_index	Cluster_base
204062_s_at	131	3
204063_s_at	270	6
204069_at	263	7
204072_s_at	100	2
204073_s_at	206	5
204076_at	199	11
204079_at	300	10
204082_at	130	3
204092_s_at	5	1
204099_at	219	8
204114_at	366	10
204131_s_at	61	3
204141_at	347	2
204146_at	150	11
204151_x_at	281	8
204154_at	221	8
204163_at	129	3
204164_at	327	12
204165_at	206	5
204168_at	230	2
204179_at	213	6
204185_x_at	149	10
204186_s_at	247	11
204195_s_at	51	1
204201_s_at	246	10
204205_at	6	1
204207_s_at	29	1
204208_at	80	1
204214_s_at	395	12
204215_at	248	11
204216_s_at	52	1
204224_s_at	299	10
204236_at	223	8
204239_s_at	129	3
204246_s_at	129	3
204247_s_at	131	3
204248_at	40	2
204256_at	304	11
204260_at	65	2
204269_at	295	10
204271_s_at	348	4
204273_at	336	8
204274_at	146	4
204281_at	33	1
204284_at	368	11
204285_s_at	347	2
204286_s_at	352	9
204288_s_at	273	8
204290_s_at	186	4
